method,split,threshold_type,val_selection_score,threshold,accuracy,precision,recall,f1,confusion_matrix,roc_auc,pr_auc
raw_ensemble,original_test,val_precision_0.45_floor,0.5088832487309645,0.5528316259384155,0.9356338882523422,0.4534288638689867,0.5127314814814815,0.4812601846822379,"[[13439, 534], [421, 443]]",0.8701155386313816,0.4582510518596425
platt,original_test,val_precision_0.45_floor,0.5088832487309645,0.22261326502503273,0.9356338882523422,0.4534288638689867,0.5127314814814815,0.4812601846822379,"[[13439, 534], [421, 443]]",0.8701154143838248,0.4582509125521985
raw_ensemble,original_test,val_f1_tuned,0.489347966429455,0.6162036120891571,0.9411606119835546,0.4944237918215613,0.4618055555555556,0.47755834829443444,"[[13565, 408], [465, 399]]",0.8701155386313816,0.4582510518596425
platt,original_test,val_f1_tuned,0.489347966429455,0.29059773823715035,0.9411606119835546,0.4944237918215613,0.4618055555555556,0.47755834829443444,"[[13565, 408], [465, 399]]",0.8701154143838248,0.4582509125521985
isotonic,original_test,val_f1_tuned,0.489347966429455,0.30357142857142855,0.9411606119835546,0.4944237918215613,0.4618055555555556,0.47755834829443444,"[[13565, 408], [465, 399]]",0.869235741681709,0.4301018517030234
isotonic,original_test,val_precision_0.45_floor,0.48096446700507617,0.30357142857142855,0.9411606119835546,0.4944237918215613,0.4618055555555556,0.47755834829443444,"[[13565, 408], [465, 399]]",0.869235741681709,0.4301018517030234
raw_ensemble,original_test,val_recall_0.55_floor,0.41232227488151657,0.5013077259063721,0.9277481970748803,0.41049913941480204,0.5520833333333334,0.47087857847976305,"[[13288, 685], [387, 477]]",0.8701155386313816,0.4582510518596425
platt,original_test,val_recall_0.55_floor,0.41232227488151657,0.17630490923286646,0.9277481970748803,0.41049913941480204,0.5520833333333334,0.47087857847976305,"[[13288, 685], [387, 477]]",0.8701154143838248,0.4582509125521985
raw_ensemble,original_test,default_0.5,,0.5,0.927478600795309,0.4090909090909091,0.5520833333333334,0.46995073891625616,"[[13284, 689], [387, 477]]",0.8701155386313816,0.4582510518596425
isotonic,original_test,val_recall_0.55_floor,0.38971807628524047,0.20449438202247192,0.9201321021769899,0.37886792452830187,0.5810185185185185,0.45865692096847877,"[[13150, 823], [362, 502]]",0.869235741681709,0.4301018517030234
raw_ensemble,original_test,val_f2_tuned,0.5435244161356043,0.35429886281490325,0.9014625598166746,0.3269675925925926,0.6539351851851852,0.4359567901234568,"[[12810, 1163], [299, 565]]",0.8701155386313816,0.4582510518596425
platt,original_test,val_f2_tuned,0.5435244161356043,0.0853243190909397,0.9014625598166746,0.3269675925925926,0.6539351851851852,0.4359567901234568,"[[12810, 1163], [299, 565]]",0.8701154143838248,0.4582509125521985
isotonic,original_test,val_f2_tuned,0.5435244161356043,0.11206896551724138,0.9014625598166746,0.3269675925925926,0.6539351851851852,0.4359567901234568,"[[12810, 1163], [299, 565]]",0.869235741681709,0.4301018517030234
raw_ensemble,original_test,val_f0.5_tuned,0.5405405405394651,0.747980272769928,0.9476309226932669,0.5947712418300654,0.3159722222222222,0.4126984126984127,"[[13787, 186], [591, 273]]",0.8701155386313816,0.4582510518596425
platt,original_test,val_f0.5_tuned,0.5405405405394651,0.46306432384130214,0.9476309226932669,0.5947712418300654,0.3159722222222222,0.4126984126984127,"[[13787, 186], [591, 273]]",0.8701154143838248,0.4582509125521985
isotonic,original_test,val_f0.5_tuned,0.5405405405394651,0.4716981132075472,0.9476309226932669,0.5947712418300654,0.3159722222222222,0.4126984126984127,"[[13787, 186], [591, 273]]",0.869235741681709,0.4301018517030234
platt,original_test,default_0.5,,0.5,0.9479005189728382,0.6140350877192983,0.2835648148148148,0.38796516231195566,"[[13819, 154], [619, 245]]",0.8701154143838248,0.4582509125521985
isotonic,original_test,default_0.5,,0.5,0.9482375143223023,0.6363636363636364,0.25925925925925924,0.3684210526315789,"[[13845, 128], [640, 224]]",0.869235741681709,0.4301018517030234
isotonic,synthetic_test,val_recall_0.55_floor,0.38971807628524047,0.20449438202247192,0.8956752198530298,0.6763664962642548,0.6542411563332066,0.6651198762567672,"[[13150, 823], [909, 1720]]",0.9073156410952525,0.6990254873332123
raw_ensemble,synthetic_test,val_f2_tuned,0.5435244161356043,0.35429886281490325,0.883869413323696,0.6157912124215394,0.7090148345378471,0.6591230551626591,"[[12810, 1163], [765, 1864]]",0.9087159262781884,0.7207474797350517
platt,synthetic_test,val_f2_tuned,0.5435244161356043,0.0853243190909397,0.883869413323696,0.6157912124215394,0.7090148345378471,0.6591230551626591,"[[12810, 1163], [765, 1864]]",0.9087159262781884,0.7207474797350516
isotonic,synthetic_test,val_f2_tuned,0.5435244161356043,0.11206896551724138,0.883869413323696,0.6157912124215394,0.7090148345378471,0.6591230551626591,"[[12810, 1163], [765, 1864]]",0.9073156410952525,0.6990254873332123
raw_ensemble,synthetic_test,default_0.5,,0.5,0.8979641007107577,0.7021184608733246,0.6177253708634461,0.6572237960339944,"[[13284, 689], [1005, 1624]]",0.9087159262781884,0.7207474797350517
raw_ensemble,synthetic_test,val_recall_0.55_floor,0.41232227488151657,0.5013077259063721,0.8980845681243224,0.7030775899436498,0.6169646253328261,0.6572123176661264,"[[13288, 685], [1007, 1622]]",0.9087159262781884,0.7207474797350517
platt,synthetic_test,val_recall_0.55_floor,0.41232227488151657,0.17630490923286646,0.8980845681243224,0.7030775899436498,0.6169646253328261,0.6572123176661264,"[[13288, 685], [1007, 1622]]",0.9087159262781884,0.7207474797350516
raw_ensemble,synthetic_test,val_precision_0.45_floor,0.5088832487309645,0.5528316259384155,0.9000120467413565,0.7378497790868925,0.5717002662609357,0.6442348906986712,"[[13439, 534], [1126, 1503]]",0.9087159262781884,0.7207474797350517
platt,synthetic_test,val_precision_0.45_floor,0.5088832487309645,0.22261326502503273,0.9000120467413565,0.7378497790868925,0.5717002662609357,0.6442348906986712,"[[13439, 534], [1126, 1503]]",0.9087159262781884,0.7207474797350516
raw_ensemble,synthetic_test,val_f1_tuned,0.489347966429455,0.6162036120891571,0.8977833995904108,0.7665903890160183,0.5096995055154051,0.6122915238748001,"[[13565, 408], [1289, 1340]]",0.9087159262781884,0.7207474797350517
platt,synthetic_test,val_f1_tuned,0.489347966429455,0.29059773823715035,0.8977833995904108,0.7665903890160183,0.5096995055154051,0.6122915238748001,"[[13565, 408], [1289, 1340]]",0.9087159262781884,0.7207474797350516
isotonic,synthetic_test,val_f1_tuned,0.489347966429455,0.30357142857142855,0.8977833995904108,0.7665903890160183,0.5096995055154051,0.6122915238748001,"[[13565, 408], [1289, 1340]]",0.9073156410952525,0.6990254873332123
isotonic,synthetic_test,val_precision_0.45_floor,0.48096446700507617,0.30357142857142855,0.8977833995904108,0.7665903890160183,0.5096995055154051,0.6122915238748001,"[[13565, 408], [1289, 1340]]",0.9073156410952525,0.6990254873332123
raw_ensemble,synthetic_test,val_f0.5_tuned,0.5405405405394651,0.747980272769928,0.8868810986628117,0.8343722172751559,0.35640928109547354,0.4994669509594883,"[[13787, 186], [1692, 937]]",0.9087159262781884,0.7207474797350517
platt,synthetic_test,val_f0.5_tuned,0.5405405405394651,0.46306432384130214,0.8868810986628117,0.8343722172751559,0.35640928109547354,0.4994669509594883,"[[13787, 186], [1692, 937]]",0.9087159262781884,0.7207474797350516
isotonic,synthetic_test,val_f0.5_tuned,0.5405405405394651,0.4716981132075472,0.8868810986628117,0.8343722172751559,0.35640928109547354,0.4994669509594883,"[[13787, 186], [1692, 937]]",0.9073156410952525,0.6990254873332123
platt,synthetic_test,default_0.5,,0.5,0.884652451511866,0.8493150684931506,0.3301635602890833,0.47548616817310324,"[[13819, 154], [1761, 868]]",0.9087159262781884,0.7207474797350516
isotonic,synthetic_test,default_0.5,,0.5,0.8821226358270088,0.8620689655172413,0.304298212248003,0.44981726173741915,"[[13845, 128], [1829, 800]]",0.9073156410952525,0.6990254873332123
raw_ensemble,val,val_f1_tuned,0.489347966429455,0.6162036120891571,0.9466873357147672,0.4980289093298292,0.48096446700507617,0.4893479664299548,"[[13667, 382], [409, 379]]",0.8800781745399442,0.46705064194558993
platt,val,val_f1_tuned,0.489347966429455,0.29059773823715035,0.9466873357147672,0.4980289093298292,0.48096446700507617,0.4893479664299548,"[[13667, 382], [409, 379]]",0.8800781293753226,0.4670506278734658
